name,type,size,length,shoulderWidth,chestCrossSection,sleeveLength,image,price,company,gender,link
V-Neck Stand Collar Sweat Shirts,상의,M,70.5,60.5,61,58,https://image.msscdn.net/images/goods_img/20220207/2343095/2343095_1_500.jpg,22500,XERO,남성,http://mss.kr/2343095
V-Neck Stand Collar Sweat Shirts,상의,L,72,62,63,59,https://image.msscdn.net/images/goods_img/20220207/2343095/2343095_1_500.jpg,22500,XERO,남성,http://mss.kr/2343095
EV S.Flower Logo Crewneck,상의,M,72,47,52,59,https://image.msscdn.net/images/goods_img/20160222/309467/309467_1_500.jpg,39000,EIGHTVOLUME,남성,http://mss.kr/309467
EV S.Flower Logo Crewneck,상의,L,74,48,54,61,https://image.msscdn.net/images/goods_img/20160222/309467/309467_1_500.jpg,39000,EIGHTVOLUME,남성,http://mss.kr/309467
피그먼트 스웨트셔츠,상의,S,67,56,56,57,https://image.msscdn.net/images/prd_img/20240104/3776012/detail_3776012_17055547715015_500.jpg,14900,SPAO,여성,http://mss.kr/3776012
피그먼트 스웨트셔츠,상의,M,69,57.5,58.5,58.5,https://image.msscdn.net/images/prd_img/20240104/3776012/detail_3776012_17055547715015_500.jpg,14900,SPAO,여성,http://mss.kr/3776012
피그먼트 스웨트셔츠,상의,L,71,59,61,60,https://image.msscdn.net/images/prd_img/20240104/3776012/detail_3776012_17055547715015_500.jpg,14900,SPAO,여성,http://mss.kr/3776012
피그먼트 스웨트셔츠,상의,XL,73,60.5,63.5,61.5,https://image.msscdn.net/images/prd_img/20240104/3776012/detail_3776012_17055547715015_500.jpg,14900,SPAO,여성,http://mss.kr/3776012
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
